iter	Passed	Remaining
0	0	2036
1	1	2376
2	2	2417
3	2	2405
4	3	2505
5	4	2508
6	5	2750
7	6	2834
8	7	2929
9	8	2873
10	8	2813
11	9	2745
12	10	2722
13	10	2671
14	11	2628
15	12	2659
16	13	2712
17	13	2704
18	14	2668
19	14	2632
20	15	2623
21	16	2592
22	16	2605
23	17	2572
24	17	2526
25	18	2493
26	18	2478
27	19	2502
28	20	2505
29	21	2475
30	21	2461
31	22	2449
32	22	2419
33	23	2405
34	23	2385
35	24	2371
36	24	2370
37	25	2375
38	26	2363
39	26	2348
40	27	2340
41	27	2337
42	28	2331
43	29	2323
44	29	2315
45	30	2295
46	30	2281
47	31	2269
48	31	2269
49	32	2258
50	32	2257
51	33	2246
52	33	2240
53	34	2230
54	34	2219
55	35	2215
56	36	2210
57	36	2219
58	37	2209
59	37	2200
60	38	2196
61	38	2193
62	39	2187
63	40	2180
64	40	2174
65	41	2181
66	41	2170
67	42	2159
68	42	2166
69	43	2166
70	44	2160
71	44	2158
72	45	2156
73	45	2150
74	46	2149
75	46	2143
76	47	2132
77	47	2120
78	48	2111
79	48	2103
80	48	2092
81	49	2084
82	49	2076
83	50	2068
84	50	2066
85	51	2056
86	51	2049
87	52	2046
88	52	2044
89	53	2038
90	53	2028
91	53	2026
92	54	2020
93	54	2018
94	55	2009
95	55	2001
96	55	1993
97	56	1985
98	57	1988
99	57	1983
100	58	1981
101	58	1983
102	59	1976
103	59	1971
104	59	1964
105	60	1962
106	61	1964
107	61	1957
108	61	1952
109	62	1947
110	62	1941
111	63	1945
112	63	1944
113	64	1938
114	64	1931
115	65	1924
116	65	1923
117	66	1922
118	66	1921
119	67	1915
120	67	1909
121	67	1905
122	68	1901
123	68	1895
124	69	1891
125	69	1888
126	69	1884
127	70	1883
128	70	1882
129	71	1882
130	71	1878
131	72	1878
132	73	1877
133	73	1879
134	74	1879
135	74	1878
136	75	1875
137	75	1870
138	76	1869
139	76	1869
140	77	1866
141	77	1863
142	78	1860
143	78	1862
144	79	1862
145	79	1857
146	80	1856
147	80	1851
148	80	1848
149	81	1845
150	81	1842
151	82	1839
152	82	1836
153	83	1832
154	83	1832
155	84	1829
156	84	1825
157	84	1822
158	85	1818
159	85	1818
160	86	1815
161	86	1813
162	87	1812
163	87	1809
164	88	1809
165	88	1807
166	89	1804
167	89	1802
168	89	1799
169	90	1799
170	91	1798
171	91	1796
172	91	1794
173	92	1792
174	92	1788
175	93	1784
176	93	1780
177	93	1777
178	94	1776
179	94	1774
180	95	1772
181	95	1769
182	96	1769
183	96	1767
184	97	1765
185	97	1763
186	97	1761
187	98	1757
188	98	1754
189	99	1754
190	99	1754
191	100	1752
192	100	1749
193	100	1746
194	101	1743
195	101	1740
196	102	1737
197	102	1735
198	102	1733
199	103	1731
200	103	1731
201	104	1729
202	104	1726
203	105	1725
204	105	1725
205	106	1723
206	106	1721
207	107	1723
208	107	1721
209	108	1721
210	108	1719
211	109	1721
212	109	1721
213	110	1720
214	110	1718
215	111	1717
216	111	1714
217	112	1716
218	112	1716
219	113	1714
220	113	1716
221	114	1713
222	114	1711
223	115	1709
224	115	1706
225	115	1705
226	116	1705
227	117	1705
228	117	1706
229	118	1706
230	118	1704
231	119	1703
232	119	1700
233	119	1698
234	120	1696
235	120	1694
236	121	1692
237	121	1691
238	122	1692
239	122	1691
240	122	1688
241	123	1687
242	123	1684
243	124	1686
244	124	1684
245	125	1683
246	125	1683
247	126	1680
248	126	1678
249	127	1679
250	127	1676
251	128	1678
252	128	1678
253	129	1677
254	129	1674
255	130	1676
256	130	1676
257	131	1675
258	131	1672
259	132	1670
260	132	1668
261	132	1666
262	133	1665
263	133	1666
264	134	1664
265	134	1663
266	135	1661
267	135	1660
268	135	1658
269	136	1656
270	136	1656
271	137	1654
272	137	1652
273	138	1652
274	138	1652
275	139	1651
276	139	1653
277	140	1651
278	140	1649
279	141	1648
280	141	1648
281	142	1646
282	142	1648
283	143	1648
284	143	1649
285	144	1647
286	144	1646
287	145	1645
288	145	1643
289	146	1643
290	146	1644
291	147	1645
292	148	1647
293	148	1646
294	148	1643
295	149	1643
296	149	1641
297	150	1640
298	150	1639
299	151	1637
300	151	1636
301	152	1636
302	152	1634
303	152	1632
304	153	1630
305	153	1629
306	154	1627
307	154	1626
308	155	1626
309	155	1625
310	155	1623
311	156	1622
312	156	1622
313	157	1621
314	157	1620
315	158	1619
316	158	1617
317	159	1616
318	159	1615
319	159	1614
320	160	1614
321	160	1612
322	161	1610
323	161	1609
324	162	1608
325	162	1608
326	163	1608
327	163	1608
328	164	1607
329	164	1606
330	165	1605
331	165	1605
332	166	1605
333	166	1603
334	166	1602
335	167	1600
336	167	1600
337	168	1598
338	168	1597
339	169	1596
340	169	1596
341	170	1597
342	170	1597
343	171	1597
344	171	1597
345	172	1595
346	172	1595
347	173	1593
348	173	1592
349	174	1592
350	174	1592
351	175	1591
352	175	1590
353	175	1588
354	176	1587
355	176	1585
356	177	1585
357	177	1584
358	178	1582
359	178	1582
360	179	1581
361	179	1580
362	179	1579
363	180	1578
364	180	1578
365	181	1578
366	181	1577
367	182	1577
368	182	1576
369	183	1575
370	183	1574
371	184	1573
372	184	1573
373	185	1572
374	185	1572
375	186	1571
376	186	1570
377	186	1568
378	187	1567
379	187	1567
380	188	1566
381	188	1565
382	189	1564
383	189	1563
384	190	1562
385	190	1561
386	190	1560
387	191	1560
388	192	1560
389	192	1559
390	192	1558
391	193	1557
392	193	1555
393	194	1554
394	194	1554
395	194	1553
396	195	1553
397	196	1553
398	196	1552
399	196	1550
400	197	1549
401	197	1548
402	198	1548
403	198	1547
404	199	1547
405	199	1548
406	200	1546
407	200	1546
408	201	1546
409	201	1545
410	202	1544
411	202	1542
412	203	1541
413	203	1540
414	203	1539
415	204	1538
416	204	1536
417	204	1535
418	205	1534
419	205	1533
420	206	1532
421	206	1531
422	207	1532
423	207	1531
424	208	1530
425	208	1529
426	208	1528
427	209	1526
428	209	1527
429	210	1528
430	211	1529
431	211	1529
432	212	1528
433	212	1527
434	213	1526
435	213	1525
436	214	1524
437	214	1523
438	214	1522
439	215	1521
440	215	1520
441	216	1520
442	216	1519
443	216	1517
444	217	1516
445	217	1516
446	218	1515
447	218	1514
448	219	1514
449	219	1514
450	220	1513
451	220	1513
452	221	1513
453	221	1512
454	222	1511
455	222	1509
456	223	1509
457	223	1509
458	223	1508
459	224	1508
460	224	1507
461	225	1507
462	225	1506
463	226	1506
464	226	1505
465	227	1504
466	227	1503
467	228	1503
468	228	1502
469	229	1500
470	229	1499
471	229	1498
472	230	1497
473	230	1496
474	231	1496
475	231	1495
476	231	1494
477	232	1494
478	232	1493
479	233	1492
480	233	1491
481	234	1490
482	234	1490
483	235	1490
484	235	1490
485	236	1489
486	236	1489
487	237	1488
488	237	1489
489	238	1488
490	238	1487
491	239	1487
492	239	1486
493	240	1486
494	240	1486
495	241	1485
496	241	1484
497	242	1484
498	242	1483
499	243	1482
500	243	1481
501	243	1480
502	244	1479
503	244	1479
504	245	1478
505	245	1477
506	246	1477
507	246	1476
508	247	1476
509	247	1475
510	247	1474
511	248	1473
512	248	1473
513	249	1473
514	249	1472
515	250	1472
516	250	1471
517	251	1471
518	251	1470
519	252	1470
520	252	1469
521	253	1470
522	253	1469
523	254	1469
524	254	1468
525	255	1467
526	255	1466
527	256	1465
528	256	1465
529	256	1464
530	257	1464
531	257	1463
532	258	1462
533	258	1462
534	259	1460
535	259	1459
536	259	1458
537	260	1459
538	261	1458
539	261	1457
540	261	1456
541	262	1456
542	262	1455
543	263	1455
544	263	1454
545	264	1453
546	264	1453
547	265	1452
548	265	1452
549	266	1452
550	266	1451
551	267	1450
552	267	1450
553	267	1449
554	268	1449
555	268	1448
556	269	1447
557	269	1446
558	270	1445
559	270	1444
560	271	1444
561	271	1443
562	271	1442
563	272	1441
564	272	1441
565	273	1440
566	273	1440
567	274	1439
568	274	1438
569	275	1438
570	275	1437
571	275	1436
572	276	1435
573	276	1435
574	277	1434
575	277	1434
576	278	1433
577	278	1432
578	278	1431
579	279	1430
580	279	1430
581	280	1429
582	280	1428
583	281	1427
