iter	Logloss
0	0.6928702195
1	0.6925422152
2	0.6922149062
3	0.6918848455
4	0.691558073
5	0.6912035247
6	0.6909646094
7	0.6906898816
8	0.6904516816
9	0.6900253296
10	0.6896012922
11	0.6891787151
12	0.6888272365
13	0.6884013216
14	0.6879794796
15	0.6877429883
16	0.6875026623
17	0.6872147123
18	0.6868887742
19	0.6866005262
20	0.6862472296
21	0.685896486
22	0.6856245001
23	0.6853020092
24	0.6848821839
25	0.6844604214
26	0.6840400398
27	0.6838044822
28	0.6835324665
29	0.6831140419
30	0.6828433275
31	0.6826753318
32	0.682256182
33	0.681907167
34	0.6814909577
35	0.6811679403
36	0.6808998585
37	0.680629005
38	0.6803089579
39	0.679960529
40	0.6796154479
41	0.6793278952
42	0.6790447831
43	0.6788089176
44	0.6784631411
45	0.6780469219
46	0.6777290901
47	0.6773817043
48	0.6771162848
49	0.6767703096
50	0.6765029728
51	0.6761849721
52	0.6759174963
53	0.6756336888
54	0.6753656467
55	0.6751338045
56	0.6748504639
57	0.6746201813
58	0.6742779811
59	0.6740095516
60	0.6737289925
61	0.6734957397
62	0.6731527944
63	0.6728114486
64	0.6725286543
65	0.6722993851
66	0.6718867322
67	0.6714772681
68	0.6712483863
69	0.6709812284
70	0.6707010965
71	0.6704364022
72	0.6701734662
73	0.6698583563
74	0.6695786516
75	0.6692649722
76	0.6688562234
77	0.6684474448
78	0.6681348979
79	0.667854319
80	0.6674481829
81	0.6671690047
82	0.6668549577
83	0.6665178339
84	0.6662399669
85	0.6658318142
86	0.6654958328
87	0.6652351816
88	0.664970547
89	0.664635847
90	0.6642292043
91	0.6640010675
92	0.6637247602
93	0.663498342
94	0.6630934874
95	0.6626910369
96	0.6622891823
97	0.6618852218
98	0.6616581281
99	0.6613500317
100	0.6610892812
101	0.6608635585
102	0.6604604026
103	0.66015324
104	0.6597487926
105	0.6594757835
106	0.6592512727
107	0.6588513454
108	0.658591191
109	0.6582589348
110	0.6578601797
111	0.6576360067
112	0.6573610107
113	0.6569625139
114	0.6565637688
115	0.6561645468
116	0.6559068759
117	0.6556329827
118	0.6553775966
119	0.6549812059
120	0.6545809607
121	0.6542499562
122	0.6539957921
123	0.653599292
124	0.6532931427
125	0.6531346738
126	0.6528300742
127	0.6525761982
128	0.6523222228
129	0.6520663599
130	0.6517375112
131	0.6514831384
132	0.6512125234
133	0.6509912709
134	0.6507726908
135	0.6505189737
136	0.6502130131
137	0.6498202085
138	0.6495505671
139	0.6492835581
140	0.6489795049
141	0.648677359
142	0.6484099627
143	0.6481904586
144	0.6479709446
145	0.6475791931
146	0.64731131
147	0.646917512
148	0.6465919415
149	0.6462663015
150	0.6459412475
151	0.6456408699
152	0.6453164419
153	0.6449264685
154	0.6447066466
155	0.6444092294
156	0.6440178355
157	0.6438142061
158	0.6434269349
159	0.6431600849
160	0.6428620716
161	0.6425395906
162	0.6422739327
163	0.6419519782
164	0.6417034268
165	0.6414511502
166	0.6411305964
167	0.6408080558
168	0.6404871146
169	0.6402231852
170	0.6399756273
171	0.6396770875
172	0.6393572489
173	0.6391096314
174	0.6387217939
175	0.6383373241
176	0.6379524469
177	0.6375655731
178	0.63731878
179	0.6369990706
180	0.6368484497
181	0.6365280251
182	0.6362792253
183	0.6359859208
184	0.6356685758
185	0.6353493333
186	0.6350555321
187	0.6346712212
188	0.6344166696
189	0.6341549754
190	0.6339429816
191	0.6336499552
192	0.6332692107
193	0.6329767009
194	0.6325953702
195	0.6322139402
196	0.6318321923
197	0.6315165758
198	0.6312013169
199	0.6309099297
200	0.6306979259
201	0.6303838591
202	0.6301287611
203	0.6298710605
204	0.6296291749
205	0.6294925908
206	0.6291135947
207	0.6289034983
208	0.6285240153
209	0.6283147434
210	0.6279990176
211	0.6277895768
212	0.6275477707
213	0.627289921
214	0.6269129614
215	0.6266702314
216	0.6262946427
217	0.6260847052
218	0.6258458098
219	0.6256041328
220	0.6253939768
221	0.6250186066
222	0.6246437232
223	0.6243311465
224	0.6239568194
225	0.6236460606
226	0.6233905852
227	0.6231814524
228	0.6229731739
229	0.6227648755
230	0.6224785149
231	0.6221681833
232	0.6217953165
233	0.6214221517
234	0.6211140354
235	0.6207404335
236	0.6204571327
237	0.6202179293
238	0.6200105647
239	0.6197271546
240	0.6193553706
241	0.6191167931
242	0.6187446117
243	0.6185383797
244	0.6182581782
245	0.6179503401
246	0.6177449028
247	0.617373695
248	0.6170049012
249	0.616766274
250	0.6163980762
251	0.6161920428
252	0.6159887413
253	0.6156833569
254	0.6153135896
255	0.6151091357
256	0.6148743033
257	0.6145683626
258	0.614198784
259	0.6138325632
260	0.613467743
261	0.613160938
262	0.6129714151
263	0.6127689381
264	0.6124026179
265	0.6121205688
266	0.6118168235
267	0.6115143398
268	0.6111474435
269	0.6108709176
270	0.6106372972
271	0.6102715333
272	0.6099081437
273	0.609674265
274	0.6094421546
275	0.6091406544
276	0.6089379092
277	0.6085729599
278	0.6082105339
279	0.6080101331
280	0.6078096827
281	0.6074467699
282	0.6072436174
283	0.6069991688
284	0.6067984502
285	0.6064984202
286	0.6061979731
287	0.6059662104
288	0.6058336496
289	0.6056326727
290	0.6054315766
291	0.6052304804
292	0.605031093
293	0.6047865748
294	0.6044255098
295	0.6041944226
296	0.6038373907
297	0.6035394768
298	0.6032405893
299	0.6029653549
300	0.6027219792
301	0.6025245289
302	0.6021656295
303	0.6018083493
304	0.601563712
305	0.6012901564
306	0.6009313961
307	0.6006374955
308	0.6004092793
309	0.6001121898
310	0.5997555057
311	0.5995278756
312	0.5992849171
313	0.5990589658
314	0.5987880826
315	0.5985151331
316	0.598160098
317	0.5978667935
318	0.5975705385
319	0.5972768962
320	0.5970386167
321	0.5966812273
322	0.5964476267
323	0.596221904
324	0.5959284008
325	0.5957038005
326	0.5954784751
327	0.5952519675
328	0.5950138966
329	0.5947216948
330	0.5944274565
331	0.5942028562
332	0.5939776997
333	0.5936248302
334	0.5933355192
335	0.5932168464
336	0.5929932495
337	0.592640539
338	0.5924608211
339	0.5921699305
340	0.5919459462
341	0.5917507907
342	0.5915566782
343	0.5913641055
344	0.5911689003
345	0.590817074
346	0.5906270941
347	0.5902749598
348	0.59000959
349	0.5897866885
350	0.5895920297
351	0.5893281003
352	0.5890376767
353	0.588689069
354	0.5884531339
355	0.588103354
356	0.5879127085
357	0.587563465
358	0.58727777
359	0.5870558619
360	0.5868211488
361	0.5864749551
362	0.5862396657
363	0.5860183636
364	0.5858253837
365	0.5856349369
366	0.5852908194
367	0.5850564241
368	0.5847929915
369	0.5845067799
370	0.5842197935
371	0.5839864711
372	0.5837648809
373	0.5834819674
374	0.5832475722
375	0.5829878052
376	0.5827000539
377	0.5823570788
378	0.5820939938
379	0.5818629762
380	0.5816010833
381	0.5813189546
382	0.5810578763
383	0.58079651
384	0.5804533561
385	0.580193162
386	0.5799614886
387	0.5797444781
388	0.5795535048
389	0.5792124271
390	0.5789541105
391	0.578672876
392	0.5783313811
393	0.5779905419
394	0.5777725478
395	0.5774924159
396	0.5773036281
397	0.5770225128
398	0.5767648617
399	0.5764259895
400	0.5761669775
401	0.5758852462
402	0.5756995777
403	0.5754414598
404	0.5752267241
405	0.5750400225
406	0.574701945
407	0.5744870702
408	0.5743000805
409	0.574073722
410	0.5737335285
411	0.5733975073
412	0.5731842915
413	0.572846214
414	0.5725678901
415	0.5722312331
416	0.5718954106
417	0.5716400445
418	0.5713620186
419	0.5710283915
420	0.5707510114
421	0.5704953671
422	0.5703118046
423	0.5700541139
424	0.5697799722
425	0.5695029895
426	0.569382906
427	0.5690482557
428	0.5688644747
429	0.5686806043
430	0.5684967438
431	0.5682865083
432	0.5680723985
433	0.5678207477
434	0.5675456226
435	0.5672695438
436	0.5670179427
437	0.566686521
438	0.5664100051
439	0.5661577582
440	0.5658277969
441	0.5656432112
442	0.5653130511
443	0.5649835368
444	0.5647728642
445	0.5645898879
446	0.5643394689
447	0.5641304056
448	0.5639080703
449	0.5637257099
450	0.5634737611
451	0.5632655124
452	0.5630839765
453	0.5628639559
454	0.5625333985
455	0.5622052153
456	0.5619831483
457	0.5617744029
458	0.5614450574
459	0.5612379809
460	0.560989668
461	0.56080845
462	0.5604813794
463	0.5602725248
464	0.560053587
465	0.5598317087
466	0.5595050255
