ID,ADDRESS,SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,DATE_SOLD,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST,NEAREST_SCH_RANK
0,9 Crumlin Way,Ridgewood,520000,5,2,4,674,266,2007,35500,Butler Station,3000,"09-2015",6030,-31.656206,115.720566,IRENE MCCORMACK CATHOLIC COLLEGE,1.079230107,120
1,37 Sissinghurst Crescent,Landsdale,575000,5,4,2,540,301,2014,16900,Whitfords Station,8100,"07-2018",6065,-31.80080234,115.8676748,LANDSDALE CHRISTIAN SCHOOL,0.66758468,
2,24 Tees Court,Mindarie,760000,4,2,2,781,220,1992,33500,Clarkson Station,3500,"02-2020",6030,-31.68204,115.7026,MINDARIE SENIOR COLLEGE,0.650760875,111
3,31 Brentham Street,Mount Hawthorn,1230000,2,1,2,425,185,1938,3500,Leederville Station,1500,"07-2020",6016,-31.9260456,115.8381812,ARANMORE CATHOLIC COLLEGE,0.484464971,106
4,46/1 Corkhill Street,North Fremantle,2010000,3,2,2,546,186,2004,12900,North Fremantle Station,800,"10-2017",6159,-32.03207864,115.7596261,JOHN CURTIN COLLEGE OF THE ARTS,1.869050101,25
5,65 Monash Avenue,Como,980000,3,1,1,1012,252,2015,4800,Canning Bridge Station,2700,"12-2019",6152,-31.9921992,115.8760517,PENRHOS COLLEGE,0.669617073,4
6,28 Newstead Crescent,Parmelia,357000,4,1,2,738,120,1983,33400,Wellard Station,1500,"12-2015",6167,-32.25038,115.82004,PETER CARNLEY ANGLICAN COMMUNITY SCHOOL,0.88979446,
7,12 Lauri Court,Parkwood,389000,2,1,2,563,113,1981,12400,Thornlie Station,3100,"08-2016",6147,-32.05113,115.92,LYNWOOD SENIOR HIGH SCHOOL,1.088618664,96
8,565 Jacoby Street,Mahogany Creek,550000,3,2,,1537,167,1910,27000,Midland Station,13100,"12-2014",6072,-31.90471,116.13877,MUNDARING CHRISTIAN COLLEGE,3.975465354,
9,18 Mornington Drive,Banksia Grove,389000,4,2,2,603,172,2008,27700,Currambine Station,5900,"07-2020",6031,-31.70738272,115.8097242,JOSEPH BANKS SECONDARY COLLEGE,1.575722217,92
10,7 Ada Street,South Fremantle,1350000,3,2,2,413,206,1950,16300,Fremantle Station,1800,"06-2017",6162,-32.06686,115.75177,FREMANTLE COLLEGE,1.532393242,128
11,5 Gabell Way,Koondoola,430000,3,1,1,769,92,1976,12400,Warwick Station,6400,"03-2015",6064,-31.8412,115.86386,MERCY COLLEGE,0.898889632,46
12,1530 Clayton Road,Helena Valley,930000,4,2,2,20522,221,2001,18800,Midland Station,6200,"11-2017",6056,-31.92281,116.05493,TREETOPS MONTESSORI SCHOOL,1.848196714,
13,82 St Johns Wood Boulevard,Mount Claremont,1615000,5,2,2,652,303,2004,7800,Claremont Station,2500,"04-2017",6010,-31.95861437,115.7771474,JOHN XXIII COLLEGE,0.736498898,8
14,112 Amethyst Crescent,Mount Richon,685000,5,2,2,3198,359,1992,27800,Armadale Station,1300,"12-2015",6112,-32.15880984,116.0252017,ARMADALE SENIOR HIGH SCHOOL,1.065348319,
15,12 Manjimup Place,Gwelup,845000,4,3,4,605,235,1997,10800,Warwick Station,2800,"12-2018",6018,-31.86957,115.79834,BALCATTA SENIOR HIGH SCHOOL,1.470454144,135
16,15 Charing Cross Road,Joondalup,560000,3,2,2,350,172,1999,25900,Joondalup Station,1300,"08-2017",6027,-31.73289927,115.7681419,LAKE JOONDALUP BAPTIST COLLEGE,0.81444958,80
17,6 Fontano Road,Wattle Grove,1200000,4,3,4,1907,200,,17000,Madding,5700,"01-2016",6107,-32.01195,116.02426,MAZENOD COLLEGE,1.495011501,25
18,56B Valencia Avenue,Churchlands,890000,3,2,2,922,125,,7700,Glendalough Station,3600,"10-2016",6018,-31.9213292,115.785586,NEWMAN COLLEGE,0.266462942,44
19,25 Nicholl Street,Glen Forrest,615000,4,2,2,2004,189,,23000,Midland Station,9100,"08-2014",6071,-31.9036,116.09566,HELENA COLLEGE,0.586581182,78
20,60 Amherst Road,Woodbridge,316666,3,2,2,455,320,2009,14700,Midland Station,299,"02-2011",6056,-31.89265,115.99803,YOUTH FUTURES COMMUNITY SCHOOL,0.819638977,
21,615 Ballot Road,Chidlow,510000,2,1,,28335,88,1950,40800,Midland Station,26000,"03-2015",6556,-31.83258,116.26714,EASTERN HILLS SENIOR HIGH SCHOOL,6.399522522,105
22,89B Lacey Street,East Cannington,490000,3,2,2,441,184,,11700,Beckenham Station,1300,"08-2018",6107,-32.01274853,115.9607987,SEVENOAKS SENIOR COLLEGE,1.744476585,114
23,13 Coral Street,South Fremantle,1250000,3,3,2,290,219,2008,16100,Fremantle Station,1500,"11-2015",6162,-32.06460594,115.7512461,CHRISTIAN BROTHERS' COLLEGE,1.439723403,49
24,5 Bobtail Close,Brookdale,378000,4,2,4,974,152,1993,26900,Armadale Station,1900,"09-2015",6112,-32.16381,115.99671,DALE CHRISTIAN SCHOOL,0.533973776,
25,8 Derwent Meander,Joondalup,800000,4,2,3,1000,244,2003,26800,Currambine Station,1700,"11-2019",6027,-31.72394324,115.7680136,LAKE JOONDALUP BAPTIST COLLEGE,1.629258157,80
26,1465 Margaret Road,Hovea,630000,4,3,4,3991,240,1974,24300,Midland Station,9900,"02-2018",6071,-31.8918,116.10576,HELENA COLLEGE,2.206025505,78
27,46 Victoria Street,Redcliffe,379000,3,1,1,458,113,1950,7900,Ashfield Station,2700,"11-2015",6104,-31.93654872,115.9401007,BELMONT CITY COLLEGE,2.54205961,57
28,76 Lyndale Avenue,Parkwood,456420,3,1,1,703,138,,12200,Thornlie Station,3700,"05-2018",6147,-32.05137,115.91292,LYNWOOD SENIOR HIGH SCHOOL,1.09497895,96
29,8 Rivonia Brace,Madeley,300000,4,2,2,519,211,2007,16800,Whitfords Station,4500,"07-2017",6065,-31.803673,115.829306,KINGSWAY CHRISTIAN COLLEGE,1.164903655,50
30,14 Deyoung Road,Craigie,448000,3,1,2,680,102,1970,19900,Whitfords Station,1500,"02-2017",6025,-31.78972,115.77057,BELRIDGE SECONDARY COLLEGE,2.26153838,102
